year,date,gunshot,total,convention,rate
2007,-3,12,830806,FALSE,1.4443805172326631
2007,-2,13,816520,FALSE,1.592122666927938
2007,-1,17,691769,FALSE,2.4574677385080856
2007,0,10,807939,TRUE,1.237717203897819
2007,1,11,806097,FALSE,1.3646000419304376
2007,2,14,792347,FALSE,1.7669026323063002
2007,3,11,791909,FALSE,1.3890484891572137
2008,-3,21,1030124,FALSE,2.0385895290275733
2008,-2,13,1044073,FALSE,1.245123664724593
2008,-1,20,1034840,FALSE,1.9326659193691778
2008,0,20,1025045,TRUE,1.9511338526601272
2008,1,12,997270,FALSE,1.2032849679625377
2008,2,16,1081518,FALSE,1.4794020996414299
2008,3,13,1020653,FALSE,1.273694389768119
2009,-3,20,1042228,FALSE,1.9189659076516847
2009,-2,10,1116558,FALSE,0.8956095428988015
2009,-1,14,1051901,FALSE,1.3309237276131498
2009,0,12,1047353,TRUE,1.1457455127354388
2009,1,15,1011035,FALSE,1.4836281632188797
2009,2,8,1056356,FALSE,0.7573204487880979
2009,3,12,1032233,FALSE,1.1625282276385274
2010,-3,13,1142614,FALSE,1.1377420546221209
2010,-2,10,1186513,FALSE,0.8428057678255527
2010,-1,13,1144371,FALSE,1.1359952323153941
2010,0,13,1143469,TRUE,1.1368913368005604
2010,1,16,1141722,FALSE,1.4013919325369923
2010,2,11,1077556,FALSE,1.02082861586776
2010,3,11,1156658,FALSE,0.9510157712997274
2011,-3,23,1367774,FALSE,1.6815643520055215
2011,-2,18,1359396,FALSE,1.3241174757024443
2011,-1,25,1159636,FALSE,2.1558489043113527
2011,0,14,1355778,TRUE,1.0326174344177292
2011,1,16,1315535,FALSE,1.216235219891527
2011,2,24,1322367,FALSE,1.8149273235039893
2011,3,24,1311551,FALSE,1.8298945294540585
2012,-3,36,2476577,FALSE,1.4536192494721545
2012,-2,37,2499254,FALSE,1.4804417638223246
2012,-1,24,2241770,FALSE,1.0705826199833168
2012,0,20,2432759,TRUE,0.8221118491391872
2012,1,23,2434911,FALSE,0.9445930467273752
2012,2,30,2429290,FALSE,1.234928724030478
2012,3,34,2397537,FALSE,1.4181220143839282
2013,-3,16,1131267,FALSE,1.4143433866629187
2013,-2,20,1114507,FALSE,1.79451542251417
2013,-1,9,1118954,FALSE,0.804322608436093
2013,0,10,1103257,TRUE,0.9064071200092091
2013,1,21,1102062,FALSE,1.9055189272472874
2013,2,18,1097941,FALSE,1.639432355654812
2013,3,21,1057750,FALSE,1.9853462538406996
2014,-3,14,1220806,FALSE,1.146783354603434
2014,-2,14,1217420,FALSE,1.1499728934960818
2014,-1,22,1067671,FALSE,2.060559854112362
2014,0,16,1201945,TRUE,1.331175719354879
2014,1,21,1184968,FALSE,1.7721997556052147
2014,2,22,1185574,FALSE,1.8556412336977701
2014,3,20,1167941,FALSE,1.7124152675520425
2015,-3,11,771634,FALSE,1.425546308223847
2015,-2,14,767199,FALSE,1.8248198967934004
2015,-1,20,665422,FALSE,3.0056114766268625
2015,0,14,765888,TRUE,1.8279435113228044
2015,1,21,777559,FALSE,2.7007596851171423
2015,2,13,767895,FALSE,1.6929397899452399
2015,3,26,854378,FALSE,3.04314951929942
